Archivo,Banda,DeltaR,Ángulo,Posición,Trial,ACC,F_ref,F_dom,F_card
DeltaR=8cm_Angle=30_Band1_Supine_Trial3.mat,Bandwidth1,8.0,30,Supine,3,0.8842829705505763,0.29334435096153844,0.2593994140625,0.8331298828125
DeltaR=8cm_Angle=30_Band1_Supine_Trial4.mat,Bandwidth1,8.0,30,Supine,4,0.8491082603254069,0.3001051682692307,0.25482177734375,1.007080078125
DeltaR=8cm_Angle=30_Band1_Supine_Trial5.mat,Bandwidth1,8.0,30,Supine,5,0.8785222804718218,0.28658353365384615,0.25177001953125,1.004791259765625
DeltaR=8cm_Angle=30_Band1_Supine_Trial6.mat,Bandwidth1,8.0,30,Supine,6,0.9449728260869567,0.25916466346153844,0.244903564453125,0.949859619140625
DeltaR=8cm_Angle=30_Band1_Supine_Trial7.mat,Bandwidth1,8.0,30,Supine,7,0.8793290043290045,0.2602914663461538,0.2288818359375,0.803375244140625
DeltaR=8cm_Angle=30_Band1_Supine_Trial8.mat,Bandwidth1,8.0,30,Supine,8,0.7895956973293768,0.2531550480769231,0.19989013671875,1.03912353515625
DeltaR=10cm_Angle=0_Band2_Facedown_Trial1.mat,Bandwidth2,10.0,0,Facedown,1,0.7226339794754847,0.3294020432692307,0.238037109375,0.84686279296875
DeltaR=10cm_Angle=0_Band2_Facedown_Trial2.mat,Bandwidth2,10.0,0,Facedown,2,0.3693181818181819,0.3098707932692307,0.11444091796875,1.032257080078125
DeltaR=10cm_Angle=0_Band2_Facedown_Trial3.mat,Bandwidth2,10.0,0,Facedown,3,0.9832035755478662,0.32564603365384615,0.33111572265625,0.8880615234375
DeltaR=10cm_Angle=0_Band2_Facedown_Trial4.mat,Bandwidth2,10.0,0,Facedown,4,0.42034541511771994,0.30310997596153844,0.127410888671875,0.963592529296875
DeltaR=10cm_Angle=0_Band2_Facedown_Trial5.mat,Bandwidth2,10.0,0,Facedown,5,0.8265587708830551,0.3147536057692307,0.260162353515625,0.817108154296875
DeltaR=10cm_Angle=0_Band2_Facedown_Trial6.mat,Bandwidth2,10.0,0,Facedown,6,0.5856693363844394,0.32827524038461536,0.1922607421875,0.991058349609375
DeltaR=10cm_Angle=0_Band2_Facedown_Trial7.mat,Bandwidth2,10.0,0,Facedown,7,0.6411955241460543,0.3188852163461538,0.2044677734375,1.12152099609375
DeltaR=10cm_Angle=0_Band2_Facedown_Trial8.mat,Bandwidth2,10.0,0,Facedown,8,0.7598192019950125,0.30123197115384615,0.2288818359375,1.02996826171875
